"Count","Locations","Forest","Lag_temp_center","Lag_temp_power","NDVI","Pop","Rice","Water"
32,"Dan Phuong",0.0859375,-4.65335988998413,21.6537590026855,0.31725412607193,8.23838233947754,0.35546875,0
4,"Dan Phuong",0.12109375,-4.09302091598511,16.7528209686279,0.338406920433044,8.82921409606934,0.51171875,0
43,"Dan Phuong",0.11328125,-4.18476629257202,17.5122699737549,0.32991161942482,8.90786361694336,0.46484375,0
0,"Dan Phuong",0.1484375,-3.59039068222046,12.8909063339233,0.355178534984589,11.3114986419678,0.68359375,0
11,"Dan Phuong",0.1015625,-2.82020902633667,7.95357942581177,0.338546693325043,12.1642379760742,0.57421875,0
0,"Dan Phuong",0.09375,-3.09104108810425,9.55453586578369,0.342778503894806,12.2466506958008,0.59765625,0
0,"Dan Phuong",0.046875,-2.61791563034058,6.85348272323608,0.294223546981812,10.5518007278442,0.48046875,0
49,"Dan Phuong",0.03125,-1.78007662296295,3.16867280006409,0.315688520669937,9.70789337158203,0.34375,0
5,"Dan Phuong",0.01171875,-1.38859331607819,1.92819130420685,0.28846150636673,12.9189853668213,0.19140625,0
17,"Dan Phuong",0.2109375,-0.694062829017639,0.481723189353943,0.350766986608505,14.1533727645874,0.66015625,0
2,"Dan Phuong",0,-1.19793093204498,1.43503844738007,0.187580406665802,9.3163948059082,0.7734375,0
1,"Dan Phuong",0.00390625,-1.7593742609024,3.09539771080017,0.174853324890137,15.9041681289673,0.07421875,0.05078125
1,"Dan Phuong",0.00390625,-1.76617205142975,3.11936354637146,0.176742166280746,16.3025741577148,0.09375,0.05859375
10,"Dan Phuong",0.01171875,-1.82800829410553,3.34161424636841,0.188635721802711,18.4550914764404,0.19140625,0.10546875
3,"Dan Phuong",0.01171875,-1.83625185489655,3.37182068824768,0.191531896591187,18.9816799163818,0.22265625,0.1171875
8,"Dan Phuong",0,-1.64847719669342,2.71747708320618,0.177461326122284,17.9169387817383,0.08203125,0.0625
21,"Dan Phuong",0.0078125,-1.66812670230865,2.78264665603638,0.187009066343307,20.992094039917,0.15234375,0.1015625
8,"Dan Phuong",0.015625,-1.50000154972076,2.250004529953,0.195167526602745,0,0.203125,0.1328125
6,"Dan Phuong",0.015625,-1.50000154972076,2.250004529953,0.197557806968689,0,0.2265625,0.14453125
1,"Dan Phuong",0.01171875,-1.98808443546295,3.95247960090637,0.153719440102577,7.78089284896851,0.60546875,0.203125
0,"Dan Phuong",0.01953125,-1.50000154972076,2.250004529953,0.195536836981773,28.0007343292236,0.1953125,0.12109375
126,"Dan Phuong",0.05078125,-0.54968798160553,0.302156865596771,0.310279190540314,11.9308881759644,0.19140625,0
1,"Dan Phuong",0.03515625,-1.51339876651764,2.29037570953369,0.202674806118011,37.6865310668945,0.17578125,0.12890625
86,"Dan Phuong",0.20703125,-0.910935997962952,0.829804360866547,0.253637194633484,11.0808334350586,0.2890625,0
16,"Dan Phuong",0.01953125,-0.466992944478989,0.218082413077354,0.219327539205551,11.8374156951904,0.5390625,0.01953125
12,"Dan Phuong",0.03125,-0.0515228286385536,0.00265460181981325,0.212342783808708,11.6817646026611,0.53515625,0.02734375
396,"Dan Phuong",0.015625,-0.440000146627426,0.193600133061409,0.211786150932312,11.9409418106079,0.48828125,0.0078125
10,"Dan Phuong",0.1796875,-0.844529747962952,0.713230431079865,0.286984741687775,12.7851581573486,0.51171875,0.0234375
3,"Dan Phuong",0.015625,0.211561590433121,0.0447583049535751,0.194714322686195,12.0053606033325,0.265625,0.03515625
5,"Dan Phuong",0.01171875,-0.00999984703958035,9.99969488475472e-05,0.147290974855423,15.8603973388672,0.16796875,0
14,"Dan Phuong",0.03125,0.956446051597595,0.914789080619812,0.191194072365761,11.1888656616211,0.10546875,0
9,"Dan Phuong",0.0703125,0.928789496421814,0.862649977207184,0.199441075325012,11.4759654998779,0.15234375,0
54,"Dan Phuong",0.03125,0.78917920589447,0.622803866863251,0.185258001089096,11.4710865020752,0.0859375,0.01953125
0,"Dan Phuong",0.03515625,0.964727759361267,0.930699706077576,0.19245882332325,11.2542552947998,0.09765625,0
4,"Dan Phuong",0.01171875,0.963945746421814,0.929191470146179,0.184762179851532,11.1927928924561,0.0703125,0
0,"Dan Phuong",0.0703125,0.428438574075699,0.183559611439705,0.192445755004883,13.8608236312866,0.40625,0
0,"Dan Phuong",0.078125,0.75093686580658,0.563906192779541,0.192625477910042,13.9428806304932,0.1796875,0
3,"Dan Phuong",0.09765625,-0.0935150161385536,0.00874505750834942,0.238348439335823,11.8560695648193,0.55078125,0.12890625
1,"Dan Phuong",0.0625,0.0667594894766808,0.00445682974532247,0.136829808354378,13.3970546722412,0.78515625,0.01953125
3,"Dan Phuong",0.078125,0.0893768295645714,0.00798821821808815,0.168910816311836,13.923620223999,0.703125,0.140625
0,"Bac Tu Liem",0.01953125,0.217031866312027,0.047102827578783,0.137864857912064,21.1578941345215,0.15625,0.00390625
69,"Dan Phuong",0.0859375,0.339998632669449,0.115599066019058,0.147771179676056,13.5219268798828,0.7734375,0
175,"Dan Phuong",0.0078125,-0.668748497962952,0.447224527597427,0.279419898986816,12.820255279541,0.31640625,0
154,"Dan Phuong",0.01171875,0.288748174905777,0.0833755061030388,0.134763866662979,14.2011184692383,0.0703125,0
13,"Dan Phuong",0.0078125,0.284063726663589,0.0806921944022179,0.134451061487198,14.1974430084229,0.05078125,0
9,"Dan Phuong",0.0078125,0.279688268899918,0.0782255232334137,0.134155631065369,14.1937675476074,0.03515625,0
