Count,Locations,Forest,Lag_temp_center,Pop,Rice,Water
1,Bac Tu Liem,0.01171875,-0.528020501,98.59947205,0.046875,0
2,Bac Tu Liem,0.01171875,-0.331353754,91.55760193,0.046875,0
0,Bac Tu Liem,0,-0.280053705,92.50730896,0.03515625,0
1,Dan Phuong,0.046875,0.216875464,14.47423744,0.671875,0.015625
0,Bac Tu Liem,0.3203125,-1.390000939,16.38495255,0.2890625,0.00390625
0,Bac Tu Liem,0.0078125,-1.011602044,111.1016006,0.0859375,0.1953125
6,Bac Tu Liem,0.1171875,-1.066667199,98.33813477,0.203125,0.03125
0,Bac Tu Liem,0.33203125,-1.398477197,15.46767426,0.29296875,0.00390625
294,Dan Phuong,0.00390625,0.829412818,72.81525421,0.03125,0
7,Bac Tu Liem,0.35546875,-1.390000939,12.93439579,0.49609375,0
53,Bac Tu Liem,0.31640625,-1.404126763,15.16370964,0.30078125,0.00390625
8,Bac Tu Liem,0.0390625,0.476541907,120.5246887,0.08203125,0
5,Dan Phuong,0.0234375,-0.017812347,43.25648499,0.15625,0.0078125
15,Bac Tu Liem,0.046875,0.404901892,93.26599884,0.10546875,0
8,Bac Tu Liem,0.10546875,-1.061326623,75.81507111,0.21484375,0.02734375
14,Bac Tu Liem,0.10546875,-1.045312524,77.04990387,0.2265625,0.02734375
4,Dan Phuong,0.01171875,1.366678596,80.71948242,0,0
4,Dan Phuong,0.02734375,1.235807776,70.74635315,0,0
2,Bac Tu Liem,0.09375,-2.940000057,15.96892452,0.296875,0
2,Bac Tu Liem,0.0625,0.219923407,41.3469696,0.12109375,0
2,Dan Phuong,0.00390625,1.475939155,85.65792847,0,0
20,Dan Phuong,0.02734375,-1.333711267,13.66614151,0.87890625,0.09375
4,Bac Tu Liem,0.16796875,-1.735753655,13.23395348,0.171875,0.00390625
1,Bac Tu Liem,0.07421875,0.434999853,37.45679855,0.09375,0
18,Dan Phuong,0.0078125,0.404375464,18.82495117,0.4140625,0.00390625
0,Bac Tu Liem,0.0390625,-2.461873531,13.74286652,0.17578125,0
0,Dan Phuong,0,1.179609656,78.7060318,0.00390625,0
24,Bac Tu Liem,0.03515625,-1.703229547,13.04205322,0.18359375,0.00390625
2,Bac Tu Liem,0.05078125,-2.269376278,12.46030617,0.09375,0
18,Dan Phuong,0,1.100782752,68.88063049,0.03515625,0
24,Bac Tu Liem,0.09765625,-1.562760949,12.1283617,0.2265625,0
0,Bac Tu Liem,0.0625,-2.172811031,12.12796593,0.13671875,0
2,Dan Phuong,0.0078125,0.431875616,19.44657516,0.42578125,0.015625
0,Dan Phuong,0.01953125,0.091875456,17.78467369,0.0625,0
17,Bac Tu Liem,0.05859375,-1.532083154,12.32930183,0.35546875,0
2,Bac Tu Liem,0.125,-1.959062219,11.3964262,0.2890625,0
1,Dan Phuong,0.0078125,0.734960914,64.43612671,0.0234375,0
4,Dan Phuong,0.04296875,0.874685645,27.57614899,0.14453125,0
2,Dan Phuong,0.0546875,0.862966895,27.21449661,0.17578125,0
0,Dan Phuong,0.04296875,0.047499083,17.98287964,0.171875,0
2,Dan Phuong,0,0.453478247,69.36943817,0.01171875,0
2,Dan Phuong,0.0078125,0.494959265,60.75006866,0.05078125,0
2,Dan Phuong,0.06640625,0.033956908,18.04885101,0.19921875,0
0,Dan Phuong,0,0.35546723,66.37884521,0.01953125,0
3,Dan Phuong,0.12109375,0.708750129,22.81391907,0.50390625,0.01171875
10,Dan Phuong,0,0.121405028,64.55627441,0.015625,0
1,Dan Phuong,0,0.121874236,64.62310791,0.015625,0.015625
30,Dan Phuong,0.02734375,0.120001219,53.58872604,0.10546875,0
9,Dan Phuong,0.01171875,0.121405028,63.76253128,0.03125,0.01953125
3,Dan Phuong,0.01171875,0.120821379,63.3031044,0.03515625,0.00390625
0,Dan Phuong,0.03515625,0.120001219,53.10132599,0.12890625,0
2,Dan Phuong,0.03515625,0.120001219,48.01635742,0.234375,0
22,Bac Tu Liem,0.05078125,0.974569678,45.78015137,0.34765625,0
12,Dan Phuong,0.16015625,0.022970581,61.90954208,0.38671875,0
0,Bac Tu Liem,0.05859375,0.918672919,59.77735519,0.34375,0
2,Dan Phuong,0.0859375,0.121641539,50.1706543,0.2421875,0.0625
6,Dan Phuong,0.04296875,0.016146088,20.43575668,0.1171875,0
8,Dan Phuong,0.078125,0.120001219,51.78072357,0.20703125,0.0078125
3,Bac Tu Liem,0.3984375,-1.094766259,11.0886631,0.39453125,0
2,Bac Tu Liem,0.23046875,0.582342505,68.23573303,0.25390625,0.01171875
4,Bac Tu Liem,0.05859375,0.991133094,68.99609375,0.28125,0
136,Bac Tu Liem,0.05859375,1.022188544,63.15888214,0.296875,0
4,Dan Phuong,0.0703125,0.018045807,21.07552338,0.0859375,0
159,Bac Tu Liem,0.0078125,1.370001197,29.40789795,0.453125,0
268,Bac Tu Liem,0.0078125,1.370001197,30.14880371,0.46484375,0.00390625
10,Dan Phuong,0.24609375,-0.026353454,16.47021866,0.578125,0.02734375
1,Dan Phuong,0.234375,-0.033334352,14.62808228,0.53125,0
27,Bac Tu Liem,0.15234375,-1.079999566,10.92636681,0.46875,0.00390625
137,Bac Tu Liem,0.01953125,1.370001197,40.65236282,0.41015625,0.00390625
4,Bac Tu Liem,0.27734375,-1.136251092,11.21080589,0.1484375,0.015625
22,Bac Tu Liem,0.44921875,-1.098516107,11.05631638,0.41796875,0.00390625
5,Bac Tu Liem,0.140625,-1.079999566,10.9106636,0.4453125,0.00390625
6,Bac Tu Liem,0.12890625,-1.079999566,10.90748978,0.44921875,0.00390625
1,Bac Tu Liem,0.14453125,-1.079999566,10.9108181,0.4296875,0.00390625
1,Bac Tu Liem,0.2421875,-0.831563592,11.13773727,0.10546875,0.0234375
25,Bac Tu Liem,0.02734375,1.283556342,117.4641418,0.14453125,0.00390625
1,Bac Tu Liem,0.03125,1.254804969,121.3283615,0.15625,0
1,Bac Tu Liem,0.07421875,0.299063116,11.30105877,0.125,0.01171875
35,Bac Tu Liem,0.0078125,2.280603886,122.9874115,0.11328125,0.00390625
0,Bac Tu Liem,0.25,1.740000129,11.08936882,0.19921875,0.03125
1,Bac Tu Liem,0,2.372068882,152.8673401,0.015625,0
1,Bac Tu Liem,0,1.69266355,155.3915558,0.046875,0
2,Bac Tu Liem,0,1.658502936,155.8385773,0.05078125,0
1,Bac Tu Liem,0.40625,1.136015296,13.41117573,0.484375,0.00390625
0,Bac Tu Liem,0,1.574179053,117.6143494,0.03125,0
1,Bac Tu Liem,0,1.429804206,43.20372391,0.0078125,0
0,Bac Tu Liem,0,1.55941236,108.5124435,0.0078125,0
3,Bac Tu Liem,0.24609375,0.588125587,16.96736717,0.43359375,0
7,Bac Tu Liem,0.58203125,1.887812018,19.52057266,0.3046875,0.0234375
2,Bac Tu Liem,0.37109375,1.882189155,18.22015381,0.2109375,0.00390625
0,Bac Tu Liem,0.07421875,1.75226438,11.95665359,0.046875,0
62,Bac Tu Liem,0.1875,1.8554672,17.85306549,0.12109375,0.0234375
2,Bac Tu Liem,0.8671875,1.434557319,21.17258835,0.08203125,0
1,Bac Tu Liem,0.01171875,2.260000706,118.6993942,0.1796875,0.01171875
0,Bac Tu Liem,0.01953125,2.208334446,118.0099564,0.18359375,0.01171875
2,Bac Tu Liem,0.80859375,2.62247324,16.56531906,0.12890625,0
11,Bac Tu Liem,0.71484375,2.864767551,16.53776169,0.125,0
0,Cau Giay,0.0078125,0.551401496,0,0.0546875,0.21875
26,Cau Giay,0.0078125,0.557569861,0,0.05078125,0.19921875
45,Cau Giay,0.0078125,0.526140571,71.30953979,0.046875,0.2265625
0,Cau Giay,0.0078125,0.543848395,81.10993195,0.03515625,0.20703125
9,Cau Giay,0.0078125,0.567324042,90.9103241,0.02734375,0.18359375
3,Cau Giay,0.0078125,0.541857123,91.77626801,0.02734375,0.22265625
2,Bac Tu Liem,0.41015625,3.050444126,17.58933067,0.1015625,0
3,Cau Giay,0,0.545038581,131.2988892,0,0.05078125
4,Cau Giay,0,0.522753119,134.2323303,0,0.0625
2,Cau Giay,0,0.250391394,87.60375214,0.015625,0.6328125
0,Cau Giay,0,0.541857123,143.7444763,0,0.00390625
3,Bac Tu Liem,0.00390625,2.397058964,27.22779274,0.0078125,0
1,Bac Tu Liem,0.0078125,2.306040287,33.83646393,0.15234375,0.2421875
0,Bac Tu Liem,0,3.413748264,141.9887085,0.00390625,0.015625
3,Bac Tu Liem,0.00390625,3.403749943,147.362442,0.01171875,0.015625
3,Ba Dinh,0.02734375,-0.295213312,158.2007599,0.0625,0.0859375
1,Bac Tu Liem,0.0546875,2.818308353,33.04558563,0.28125,0
0,Bac Tu Liem,0.11328125,3.654634953,22.98189163,0.08984375,0
0,Bac Tu Liem,0.02734375,3.527136326,29.94307518,0,0.00390625
1,Ba Dinh,0.0546875,-0.126523584,163.4192505,0.21484375,0.125
0,Ba Dinh,0.0546875,0.031561278,185.5578308,0.13671875,0.04296875
0,Ba Dinh,0.0546875,0.065664671,191.1268005,0.10546875,0.03515625
0,Ba Dinh,0.00390625,0.841562629,70.40229797,0.1171875,0
1,Ba Dinh,0.16796875,-0.031015014,313.8258667,0.109375,0.0390625
0,Ba Dinh,0.0859375,0.048670195,344.8783569,0.15234375,0.01953125
0,Ba Dinh,0.1484375,0.056639098,313.5324097,0.21484375,0.00390625
0,Ba Dinh,0.01171875,0.331564337,410.4020081,0.1328125,0.0078125
0,Cau Giay,0.03125,4.245676517,164.887085,0.015625,0.0078125
3,Bac Tu Liem,0.0703125,3.586668491,28.47843933,0.07421875,0
0,Cau Giay,0.03125,4.230181217,167.7556458,0,0.0078125
0,Cau Giay,0.03125,4.279764652,170.5308228,0.00390625,0.0078125
4,Cau Giay,0.02734375,4.329348087,173.3059845,0.00390625,0.0078125
18,Cau Giay,0.00390625,4.453672886,181.1371155,0.0078125,0.0078125
0,Ba Dinh,0.00390625,0.330740362,63.70259857,0.125,0
0,Ba Dinh,0,2.550001621,246.3011169,0.00390625,0
0,Ba Dinh,0,0.819959998,101.7652969,0.01171875,0
1,Cau Giay,0.03125,4.325293064,181.6601257,0,0.0078125
4,Cau Giay,0.046875,4.248697758,189.9793701,0.21484375,0.00390625
0,Ba Dinh,0,0.927416205,315.9609985,0,0.0234375
7,Ba Dinh,0,0.513334632,300.1840515,0.015625,0.08203125
0,Ba Dinh,0.00390625,1.268751502,440.3717957,0.015625,0.00390625
0,Ba Dinh,0,0.973497748,122.4701385,0,0
3,Bac Tu Liem,0.02734375,2.702745914,129.3030396,0.109375,0.0078125
6,Cau Giay,0.03125,4.353548527,183.2622681,0,0.0078125
16,Cau Giay,0.02734375,4.460981846,184.4651642,0.00390625,0.0078125
